file,acc_l2_lambda
P101.csv,3.7892982503057455
P102.csv,4.777625058157456
P103.csv,3.765912746307089
P104.csv,1.9610693762779254
P105.csv,-1.2030910450903078
P106.csv,2.33188482247103
P107.csv,3.6255759740012206
P108.csv,4.109166700229125
P109.csv,-0.8300362832245679
P110.csv,7.137820062212917
P111.csv,3.926934169046736
P112.csv,9.94228158918011
P113.csv,3.1134236010138423
P114.csv,1.7692207497976895
P115.csv,5.166792338778769
P116.csv,8.04522564230457
P117.csv,10.10911841366116
P118.csv,1.4396777507205312
P119.csv,3.1769349022298035
P120.csv,0.6391614034319666
